date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:22	51646/51646	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2011:50:19%20GMT	https://www.sanco-group.com/index.php/divisions-factories/road-contracting-division/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/divisions-factories/road-contracting-division/index.html	(from https://www.sanco-group.com/)
14:50:25	557/557	---M--	200	added ('OK')	text/javascript	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/js/skip-link-focus-fix.min.js?ver=20130115	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/js/skip-link-focus-fix.min08e0.js	(from https://www.sanco-group.com/)
14:50:25	64010/64010	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2011:50:22%20GMT	https://www.sanco-group.com/index.php/quipment-rental/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/quipment-rental/index.html	(from https://www.sanco-group.com/)
14:50:30	22940/22940	---M--	200	added ('OK')	text/javascript	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/cycle2/js/jquery.cycle2.min.js?ver=2.1.6	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/cycle2/js/jquery.cycle2.min784e.js	(from https://www.sanco-group.com/)
14:50:30	47475/47475	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2011:50:26%20GMT	https://www.sanco-group.com/index.php/divisions-factories/yanbu-block-factory/concrete-products/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/divisions-factories/yanbu-block-factory/concrete-products/index.html	(from https://www.sanco-group.com/)
14:50:33	49966/49966	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2011:50:30%20GMT	https://www.sanco-group.com/index.php/contact-us/	C:/Users/AHC/Desktop/samco/www.sanco-group.com/index.php/contact-us/index.html	(from https://www.sanco-group.com/)
14:50:38	7034/7034	---M--	200	added ('OK')	text/javascript	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/sidr/js/jquery.sidr.min.js?ver=2.2.1	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/sidr/js/jquery.sidr.min77e6.js	(from https://www.sanco-group.com/)
14:50:42	668/668	---M--	200	added ('OK')	text/javascript	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/js/custom.min.js?ver=2.0.2	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/js/custom.min4c56.js	(from https://www.sanco-group.com/)
14:50:43	1010/1010	---MC-	200	added ('OK')	text/javascript	date:Sun,%2026%20Apr%202026%2011:50:43%20GMT	https://www.google.com/recaptcha/api.js?render=6Lfw0-4qAAAAANUWs6HEKkl4seeo0zVpwyR7etrr&ver=3.0	C:/Users/AHC/Desktop/samco/www.google.com/recaptcha/api9d2e.js	(from https://www.sanco-group.com/)
14:50:48	33548/33548	---M--	200	added ('OK')	text/javascript	date:Tue,%2002%20Dec%202025%2021:37:36%20GMT	https://www.sanco-group.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://www.sanco-group.com/)
14:50:50	934/934	---M--	200	added ('OK')	text/javascript	date:Sun,%2008%20Feb%202026%2009:39:08%20GMT	https://www.sanco-group.com/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=6.1.5	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/plugins/contact-form-7/modules/recaptcha/indexb5e1.js	(from https://www.sanco-group.com/)
14:51:17	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/css/font-awesome.min.css?ver=4.7.0)
14:51:18	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/css/font-awesome.min.css?ver=4.7.0)
14:51:32	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/css/font-awesome.min.css?ver=4.7.0)
14:51:37	98024/98024	---M--	200	added ('OK')	font/woff	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/css/font-awesome.min.css?ver=4.7.0)
14:52:00	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2026%20Sep%202024%2015:50:37%20GMT	https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/AHC/Desktop/samco/www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://www.sanco-group.com/wp-content/themes/education-mind/vendors/font-awesome/css/font-awesome.min.css?ver=4.7.0)
